sirius-m,77144
s_nakamoto,169270
Gavin Andresen,404795
Satoshi Nakamoto,11962
laszloh,16
gavinandresen,2022
Witchspace,29
David FRANCOIS,7
Marius Hanne,4
Chris,17
Chris Moore,3269
Luke Dashjr,149419
ojab,31
tcatm,1139
devrandom,312
Daniel Folkinshteyn,321
sandos,2
Matt Giuca,50
Matt Corallo,39121
Jeff Garzik,162283
Santiago M. Mola,27
Pieter Wuille,333280
Sven Slootweg,176
Eric Swanson,7
gjs278,26
Dan Loewenherz,9
Carlo Alberto Ferraris,10
Dan Helfman,6
Ricardo M. Correia,212
Jaromil,88613
Khalahan,66
John Maguire,26
Amir Yalon,9
Chris Howie,73
Wladimir J. van der Laan,2196351
Forrest Voight,256
Daniel Holbert,2
Danube,3768
Jordan Lewis,79
Carlos Pizarro,916
Anonymous,910
Federico Faggiano,921
dabaopku,1019
ariel,472
HostFat,14
Jakob Kramer,75
Michal Zima,2287
Doug Huff,175
Nils Schneider,103307
Dean Lee,861
Han Lin Yap,1654
Shane Wegner,5
mark,7
Dylan Noblesmith,121
James Burkle,13
Giel van Schijndel,63350
Vegard Nossum,75
Stéphane Gimenez,67
Dawid Spiechowicz,1504
Joerie de Gram,2
Eric Hosmer,55
Jay Weisskopf,7
Patrick Varilly,22
Celil,2378
Michael Bemmerl,1294
Abraham Jewowich,11
JoelKatz,81
Jeroenz0r,2
Johannes Henninger,5
David Joel Schwartz,173
Venkatesh Srinivas,16
Fabian H jr.,16
ovdeathiam,636
Misbakh-Soloviev Vadim A,1133
flower,170
Janne Pulkkinen,169
Alex Waters,20
Alex B,4737
cjdelisle,82
p2k,2266
David Perry,333
Victor Leschuk,4
globalcitizen,77
kwaaak,3
Nick Bosma,73
Clark Gaebel,43
Ang Iong Chun,2325
sje397,1716
Michael Hendricks,67
Rune K. Svendsen,197
coderrr,170
Lars Rasmusson,22
Gregory Maxwell,11085
fanquake,18231
nomnombtc,1298
Joel Kaartinen,1
Philip Kaufmann,343458
Alistair Buxton,1
Pierre Pronchery,4
graingert,2
cardpuncher,4
Dwayne C. Litzenberger,23
R E Broadley,420
Timothy Redaelli,14
freewil,147
Peter Todd,5594
Christian von Roques,622
grimd34th,21
xanatos,144
Mike Hearn,26979
justmoon,1139
Stephane Glondu,72
osmosis,39
kjj2,36
Mark Friedenbach,1158
Virgil Dupras,9
Alex,13
tucenaber,6
Arnav Singh,64
Alexander Kjeldaas,142
Robert Backhaus,16
default,12
burger2,4
redshark1802,14
Mike Cassano,18
Andrey,57
Richard Schwab,33
Colin Dean,385
Sanjay Ghemawat,258
Eric Lombrozo,4545
David Grogan,117
Ruben Dario Ponticelli,44
Petter Reinholdtsen,2
Andrew Poelstra,664
mb300sd,115
David Griffith,2
Larry Gilbert,1
Roman Mindalev,44
gladoscc,5
Jon Lund Steffensen,159
Jonas Schnelli,91988
Tariq Bashir,2
Brandon Dahler,4188
Patrick Brown,2
Calvin Owens,6
APerson241,4
Scott Howard,229
David Serrano,6
Vinnie Falco,83250
fcicq,33
Chuck LeDuc Díaz,6
William Yager,5
coblee,58
Daniel Larimer,4
super3,3715
vhf / victor felder,23
Warren Togami,615
Micha,714
Cory Fields,43233
Timon Rapp,2
Cozz Lovan,6537
Tamas Blummer,16
Vaclav Vobornik,6
theuni,17
phelixbtc,6
constantined,1095
Josh Lehan,220
Patrick Strateman,3256
Rav3nPL,2
Johnathan Corgan,368
Timothy Stranex,4
Chuck,56
David Hill,23
Olivier Langlois,48
phantomcircuit,8
sje,1546
Josh Triplett,35
Sergey Kazenyuk,2
Guillermo Céspedes Tabárez,147
Dmitry Smirnov,2
Florin,2
Julian Langschaedel,6
Michael Bauer,11
Ryan Niebur,2
Sined,0
Michagogo,8
HaltingState,5
regergregregerrge,2
Lake Denman,10
Kangmo,17
Thomas Holenstein,835
Christian Decker,3
MarcoFalke,47631
harry,4
Christopher Latham,5
Scott Willeke,2
Noel Tiernan,36
Ashley Holman,1090
gubatron,604
Calvin Tam,4
Midnight Magic,131
Subo1978,6
b6393ce9-d324-4fe1-996b-acf82dbc3d53,2
Daniel Newton,64
Bryan Bishop,496
Wil Bown,4
Drak,37
Ian Kelling,13
Haakon Nilsen,25
daniel,43
Pavel Janík,2811
jtimon,16682
Torstein Husebø,18
Alon Muroch,312
Andreas Schildbach,42
ditto-b,9
philsong,2
Thomas Zander,126
Addy Yeow,3
Meeh,1
Mikael Wikman,6
peryaudo,6
Isidoro Ghezzi,1
Chris Beams,4
Andrea D'Amore,4
Yoichi Hirai,5
Manuel Araoz,675
JaSK,1459
Bardi Harborow,5
duanemoody,3
Telepatheic,2
olalonde,4
rxl,64
langerhans,2
Hector Jusforgues,2
Eric S. Bullington,7
Altoidnerd,9
Simon de la Rouviere,4
Ian Carroll,3
David A. Harding,26
richierichrawr,7
Fabian Raetz,26
Kamil Domanski,1662
Mathy Vanvoorden,2
Matt Bogosian,6
Roy Badami,28261
shshshsh,9
Federico Bond,25
Stuart Cardall,23
Kosta Zertsekel,83
Huang Le,94
Tawanda Kembo,7
LongShao007,3
tm314159,1
Ross Nicoll,234
Giuseppe Mazzotta,138
Marius Kjærstad,74
kevin,31
dllud,12
Pavel Vasin,61
Whit J,27
Tom Harding,854
Kaz Wesley,568
Trevin Hofmann,11
Julian Haight,2
Daniel Kraft,1712
Clinton Christian,457
Zak Wilcox,31
Otto Allmendinger,10
elkingtowa,4
Aitor Pazos,65
Alex Morcos,7599
Doug,16
Adam Weiss,592
pryds,92
ntrgn,24
Ben Holden-Crowther,4
Derek701,2
randy-waterhouse,4614
Teran McKinney,6
Elichai Turkel,109
Rose Toomey,25
Dominyk Tiller,24
ENikS,172
himynameismartin,10
SergioDemianLerner,572
Benedict Chan,4
Suhas Daftuar,18547
Murch,75
Janusz Lenar,4
imharrywu,5
Andy Alness,15
Alexander Jeng,8
Eric Shaw,223
Saivann,4
sinetek,42
JL2035,2
Luke,2
21E14,95
dexX7,405
Francis GASCHET,2
mruddy,712
kiwigb,67
Jorge Timón,4518
Flavien Charlon,10
mrbandrews,3862
Glenn Willen,1813
Heath,144
Ryan X. Charles,54
Blake Jakopovic,136
Ivan Pustogarov,7
BtcDrak,1838
sandakersmann,528
azeteki,4
Jameson Lopp,10
Eric R. Schulz,20
Everett Forth,37
Julian Yap,2
Vitalii Demianets,2
fsb4000,41
UdjinM6,87
Earlz,53
Daira Hopwood,24
bikinibabe,6
Shaul Kfir,32
Luca Venturini,445
charlescharles,2
Jonathan Brown,2
Ciemon,49
Nicolas Benoit,38
Rob Van Mieghem,10
joshr,80
Jason Lewicki,5
CohibAA,18
Ruben de Vries,9
zathras-crypto,23
Chris Arnesen,2
BitcoinPRReadingGroup,6
Dave Collins,29
Corinne Dashjr,159
svost,4
João Barbosa,3144
lpescher,5
Erik Mossberg,0
Andriy Voskoboinyk,6
Paul Rabahy,164
Stephen,6
Alex van der Peet,25
Jacob Welsh,137
rion,25
Esteban Ordano,8
Florian Schmaus,12
Paul Georgiou,18
Braydon Fuller,45
tailsjoin,26
฿tcDrak,2
centaur1,30
Simon Males,5
Casey Rodarmor,1999
Pavol Rusnak,24
Matt Quinn,8
unsystemizer,53
Veres Lajos,46
antonio-fr,2
